,Origin,Destination,Destination_Latitude,Destination_Longitude
2207,DLU,KMG,25.101944,102.929167
2208,DLU,MIG,31.427633,104.747139
2209,DLU,SHA,31.19779,121.333473
2210,DLU,WMT,27.96222,106.435
2212,DLU,YBP,28.801665,104.551835
2213,DLU,FOC,25.931231,119.66923
2214,DLU,KWE,26.544217,106.79598
2215,DLU,DZH,31.048611,107.435556
2216,DMK,CNX,18.769574,98.968409
2217,DMK,HKT,8.107619,98.306436
2219,DMK,KUL,2.744344,101.717259
2226,DMK,CGK,-6.130643,106.655526
2229,DMK,SIN,1.361173,103.990201
2230,DMK,DPS,-8.748056,115.1675
2231,DMK,HKG,22.315248,113.93649
2233,DMK,TFU,30.314195,104.44186
2235,DMK,DAD,16.053339,108.202753
2237,DMK,PEN,5.292961,100.265173
2238,DMK,RGN,16.900069,96.134152
2239,DMK,SGN,10.813045,106.662477
2242,DMK,MFM,22.156587,113.57285
2243,DMK,MNL,14.511205,121.019208
2244,DMK,TPE,25.075512,121.23248
2246,DMK,CSX,28.193336,113.214592
2247,DMK,SZX,22.639444,113.810833
2248,DMK,CAN,23.387862,113.29734
2249,DMK,HAN,21.214184,105.802827
2251,DMK,PNH,11.552193,104.846174
2252,DMK,PVG,31.143333,121.805278
2253,DMK,KNO,3.635369,98.879016
2254,DMK,VTE,17.975432,102.567721
2256,DMK,HGH,30.236934,120.432356
2257,DMK,BLR,13.200771,77.710228
2260,DMK,COK,10.155644,76.390537
2261,DMK,CKG,29.7192,106.641998
2263,DMK,NNG,22.61321,108.167501
2264,DMK,CGO,34.527519,113.840242
2265,DMK,XIY,34.438416,108.760946
2266,DMK,AMD,23.066389,72.624167
2267,DMK,CMB,7.174112,79.886494
2268,DMK,BOM,19.089891,72.868047
2269,DMK,CCU,22.655,88.447
2270,DMK,KMG,25.101944,102.929167
2273,DMK,MAA,12.982267,80.163782
2275,DMK,MLE,4.19183,73.529108
2277,DMK,WUH,30.776789,114.217577
2279,DMK,SWA,23.54944,116.510277
2281,DMK,JAI,26.822004,75.800995
2283,DMK,OKA,26.204954,127.645842
2284,DMK,HYD,17.233702,78.430427
2285,DMK,KHN,28.859902,115.907845
2286,DMK,NGB,29.826696,121.462002
2287,DMK,NKG,31.735737,118.86652
2288,DMK,KHH,22.5725,120.345278
2289,DMK,LKO,26.764257,80.884186
2290,DMK,FUK,33.584286,130.443891
2291,DMK,TNA,36.857689,117.206881
2292,DMK,GAU,26.105185,91.588427
2295,DMK,YIH,30.549934,111.478938
2296,DMK,HFE,31.992778,116.973333
2298,DMK,PKX,39.508611,116.410833
2299,DMK,DAC,23.848649,90.405874
2300,DMK,ICN,37.458764,126.441961
2301,DMK,KTM,27.699906,85.35657
2302,DMK,CZX,31.914116,119.779762
2303,DMK,LHW,36.509497,103.61756
2304,DMK,NGO,34.858333,136.805278
2305,DMK,KIX,34.43533,135.243977
2306,DMK,NRT,35.773213,140.387443
2307,DMK,CTS,42.787281,141.681341
2308,DMK,CEB,10.313333,123.982778
2311,DMM,JED,21.670232,39.150579
2312,DMM,RUH,24.959289,46.702876
2313,DMM,DXB,25.256557,55.366071
2314,DMM,MED,24.544369,39.698966
2316,DMM,DOH,25.260988,51.613594
2317,DMM,AUH,24.426912,54.645974
2318,DMM,BAH,26.269181,50.62605
2319,DMM,BOM,19.089891,72.868047
2320,DMM,SHJ,25.320873,55.52029
2322,DMM,LKO,26.764257,80.884186
2324,DMM,DEL,28.556162,77.099958
2325,DMM,MCT,23.600739,58.284042
2326,DMM,HYD,17.233702,78.430427
2327,DMM,COK,10.155644,76.390537
2328,DMM,KWI,29.240116,47.971251
2330,DMM,AMM,31.722535,35.989318
2331,DMM,KTM,27.699906,85.35657
2332,DMM,IST,41.260278,28.741944
2333,DMM,LHE,31.520833,74.402778
2336,DMM,SAW,40.904676,29.309188
2337,DMM,TRV,8.476126,76.91907
2342,DMM,ISB,33.548333,72.825
2343,DMM,CMB,7.174112,79.886494
2346,DMM,MNL,14.511205,121.019208
2348,DMM,GYD,40.462487,50.05039
2349,DMM,BEY,33.826073,35.493082
2353,DMM,MAA,12.982267,80.163782
2356,DMM,KHI,24.899986,67.16828
2357,DMM,PKX,39.508611,116.410833
2358,DOH,DXB,25.256557,55.366071
2359,DOH,AUH,24.426912,54.645974
2360,DOH,RUH,24.959289,46.702876
2361,DOH,BAH,26.269181,50.62605
2362,DOH,MCT,23.600739,58.284042
2363,DOH,JED,21.670232,39.150579
2364,DOH,KWI,29.240116,47.971251
2365,DOH,CMB,7.174112,79.886494
2366,DOH,SHJ,25.320873,55.52029
2367,DOH,BOM,19.089891,72.868047
2368,DOH,KTM,27.699906,85.35657
2369,DOH,DEL,28.556162,77.099958
2370,DOH,AMM,31.722535,35.989318
2371,DOH,COK,10.155644,76.390537
2372,DOH,BKK,13.693062,100.752044
2373,DOH,CGK,-6.130643,106.655526
2374,DOH,KUL,2.744344,101.717259
2375,DOH,DMM,26.471111,49.797778
2376,DOH,BEY,33.826073,35.493082
2377,DOH,HYD,17.233702,78.430427
2378,DOH,IST,41.260278,28.741944
2379,DOH,DAC,23.848649,90.405874
2380,DOH,DPS,-8.748056,115.1675
2381,DOH,MNL,14.511205,121.019208
2382,DOH,SAW,40.904676,29.309188
2383,DOH,SIN,1.361173,103.990201
2384,DOH,MED,24.544369,39.698966
2385,DOH,ISB,33.548333,72.825
2386,DOH,LHE,31.520833,74.402778
2387,DOH,BGW,33.255879,44.232069
2388,DOH,BLR,13.200771,77.710228
2389,DOH,CAN,23.387862,113.29734
2391,DOH,HAN,21.214184,105.802827
2392,DOH,HKG,22.315248,113.93649
2393,DOH,IKA,35.408632,51.1548
2394,DOH,KHI,24.899986,67.16828
2395,DOH,MAA,12.982267,80.163782
2396,DOH,MLE,4.19183,73.529108
2397,DOH,PKX,39.508611,116.410833
2398,DOH,SGN,10.813045,106.662477
2400,DOH,HKT,8.107619,98.306436
2401,DOH,ALA,43.35136,77.037091
2402,DOH,GYD,40.462487,50.05039
2403,DOH,TRV,8.476126,76.91907
2404,DOH,ICN,37.458764,126.441961
2406,DOH,AMD,23.066389,72.624167
2409,DOH,CCU,22.655,88.447
2412,DOH,HND,35.553476,139.781206
2413,DOH,GOX,15.73139,73.86778
2415,DOH,NRT,35.773213,140.387443
2416,DOH,PVG,31.143333,121.805278
2419,DOH,TBS,41.674063,44.958958
2420,DOH,KIX,34.43533,135.243977
2421,DOH,ESB,40.114941,32.993145
2424,DOH,AYT,36.899282,30.801349
2425,DOH,CRK,15.187696,120.549789
2426,DOH,HGH,30.236934,120.432356
2429,DOH,TAS,41.257893,69.281204
2434,DOH,CEB,10.313333,123.982778
2435,DOH,CKG,29.7192,106.641998
2436,DOH,TFU,30.314195,104.44186
2443,DOH,XMN,24.543064,118.134178
2444,DOH,MHD,36.235207,59.640996
2447,DOH,TZX,40.994191,39.781681
2453,DPS,CGK,-6.130643,106.655526
2454,DPS,SIN,1.361173,103.990201
2455,DPS,SUB,-7.377937,112.793782
2456,DPS,KUL,2.744344,101.717259
2459,DPS,UPG,-5.077019,119.547738
2463,DPS,DMK,13.9125,100.606667
2465,DPS,BPN,-1.260623,116.900817
2466,DPS,TPE,25.075512,121.23248
2467,DPS,DOH,25.260988,51.613594
2469,DPS,SGN,10.813045,106.662477
2470,DPS,ICN,37.458764,126.441961
2471,DPS,MNL,14.511205,121.019208
2474,DPS,DEL,28.556162,77.099958
2476,DPS,CAN,23.387862,113.29734
2477,DPS,DXB,25.256557,55.366071
2478,DPS,HKG,22.315248,113.93649
2479,DPS,HAN,21.214184,105.802827
2480,DPS,PVG,31.143333,121.805278
2483,DPS,SZX,22.639444,113.810833
2485,DPS,XMN,24.543064,118.134178
2486,DPS,BLR,13.200771,77.710228
2487,DPS,BKK,13.693062,100.752044
2490,DPS,NRT,35.773213,140.387443
2491,DPS,IST,41.260278,28.741944
2492,DPS,AUH,24.426912,54.645974
2494,DPS,BKI,5.923961,116.050753
2495,DPS,HKT,8.107619,98.306436
2497,DPS,HGH,30.236934,120.432356
2498,DPS,PUS,35.179319,128.948728
2499,DSN,XIY,34.438416,108.760946
2500,DSN,PEK,40.078538,116.587095
2501,DSN,PKX,39.508611,116.410833
2502,DSN,TFU,30.314195,104.44186
2503,DSN,CGO,34.527519,113.840242
2504,DSN,NKG,31.735737,118.86652
2505,DSN,CSX,28.193336,113.214592
2506,DSN,PVG,31.143333,121.805278
2507,DSN,TSN,39.128273,117.355906
2508,DSN,CKG,29.7192,106.641998
2509,DSN,YNT,37.657222,120.987222
2510,DSN,TNA,36.857689,117.206881
2511,DSN,XNN,36.527506,102.043002
2514,DSN,HAK,19.934877,110.45896
2515,DSN,CGQ,43.99611,125.68528
2516,DSN,KMG,25.101944,102.929167
2517,DSN,SJW,38.281868,114.692106
2519,DSN,TYN,37.754996,112.62585
2520,DSN,JNG,35.646944,116.742222
2521,DSN,WNZ,27.91566,120.847381
2522,DSN,TAO,36.361944,120.088333
2523,DSN,WUH,30.776789,114.217577
2524,DSN,DLC,38.96102,121.539991
2525,DSN,LHW,36.509497,103.61756
2526,DSN,KWL,25.217585,110.046839
2527,DSN,XUZ,34.055033,117.554758
2528,DSN,HET,40.854712,111.814157
2529,DSN,INC,38.323031,106.388059
2530,DSN,CIF,42.154523,118.833173
2533,DSN,HIA,33.7875,119.12778
2534,DSN,SZX,22.639444,113.810833
2535,DSN,SHS,30.321995,112.2781
2537,DSN,ZUH,22.011788,113.370601
2538,DSN,HGH,30.236934,120.432356
2539,DSN,HRB,45.620854,126.23644
2542,DSN,HFE,31.992778,116.973333
2543,DSN,KHN,28.859902,115.907845
2545,DSN,CJU,33.506698,126.493119
2546,DSN,ICN,37.458764,126.441961
2548,DSN,LYG,34.565938,118.876986
2549,DSN,JGS,26.856899,114.737
2550,DSN,KUL,2.744344,101.717259
2551,DXB,RUH,24.959289,46.702876
2552,DXB,JED,21.670232,39.150579
2553,DXB,KWI,29.240116,47.971251
2554,DXB,BOM,19.089891,72.868047
2555,DXB,BAH,26.269181,50.62605
2556,DXB,MCT,23.600739,58.284042
2557,DXB,DEL,28.556162,77.099958
2558,DXB,DOH,25.260988,51.613594
2559,DXB,IKA,35.408632,51.1548
2560,DXB,IST,41.260278,28.741944
2561,DXB,KHI,24.899986,67.16828
2562,DXB,DMM,26.471111,49.797778
2563,DXB,CMB,7.174112,79.886494
2564,DXB,HYD,17.233702,78.430427
2565,DXB,BEY,33.826073,35.493082
2566,DXB,ISB,33.548333,72.825
2567,DXB,DAC,23.848649,90.405874
2569,DXB,COK,10.155644,76.390537
2570,DXB,LHE,31.520833,74.402778
2571,DXB,KTM,27.699906,85.35657
2572,DXB,MNL,14.511205,121.019208
2573,DXB,MLE,4.19183,73.529108
2574,DXB,AMM,31.722535,35.989318
2575,DXB,GYD,40.462487,50.05039
2576,DXB,BKK,13.693062,100.752044
2577,DXB,MAA,12.982267,80.163782
2578,DXB,SIN,1.361173,103.990201
2580,DXB,MED,24.544369,39.698966
2582,DXB,BLR,13.200771,77.710228
2583,DXB,SAW,40.904676,29.309188
2584,DXB,AMD,23.066389,72.624167
2585,DXB,BGW,33.255879,44.232069
2586,DXB,KUL,2.744344,101.717259
2588,DXB,TAS,41.257893,69.281204
2589,DXB,PVG,31.143333,121.805278
2590,DXB,ALA,43.35136,77.037091
2591,DXB,CAN,23.387862,113.29734
2592,DXB,HKG,22.315248,113.93649
2593,DXB,PEK,40.078538,116.587095
2596,DXB,ICN,37.458764,126.441961
2597,DXB,NQZ,51.027811,71.461199
2601,DXB,CCU,22.655,88.447
2602,DXB,CGK,-6.130643,106.655526
2603,DXB,DPS,-8.748056,115.1675
2604,DXB,HKT,8.107619,98.306436
2605,DXB,TBS,41.674063,44.958958
2606,DXB,TRV,8.476126,76.91907
2612,DXB,LKO,26.764257,80.884186
2614,DXB,JAI,26.822004,75.800995
2615,DXB,MHD,36.235207,59.640996
2621,DXB,FRU,43.053581,74.469449
2624,DXB,HAN,21.214184,105.802827
2625,DXB,HND,35.553476,139.781206
2628,DXB,KIX,34.43533,135.243977
2631,DXB,NRT,35.773213,140.387443
2632,DXB,PNQ,18.581389,73.920556
2633,DXB,SGN,10.813045,106.662477
2635,DXB,PEN,5.292961,100.265173
2637,DXB,TPE,25.075512,121.23248
2640,DXB,CEB,10.313333,123.982778
2643,DXB,TFU,30.314195,104.44186
2650,DXB,SZX,22.639444,113.810833
2651,DXB,RGN,16.900069,96.134152
2652,DXB,AYT,36.899282,30.801349
2656,DXB,TAO,36.361944,120.088333
2658,DXB,CKG,29.7192,106.641998
2659,DXB,BBI,20.252853,85.817385
2661,DXB,HGH,30.236934,120.432356
2664,DXB,KMG,25.101944,102.929167
2666,DXB,XIY,34.438416,108.760946
2668,DXB,WUH,30.776789,114.217577
2677,DXB,TZX,40.994191,39.781681
2678,DXB,ESB,40.114941,32.993145
2680,DXB,ADB,38.294403,27.147594
2681,DXB,INC,38.323031,106.388059
2686,DYG,XIY,34.438416,108.760946
2687,DYG,NKG,31.735737,118.86652
2688,DYG,PVG,31.143333,121.805278
2689,DYG,TFU,30.314195,104.44186
2690,DYG,ICN,37.458764,126.441961
2691,DYG,PUS,35.179319,128.948728
2692,DYG,CZX,31.914116,119.779762
2693,DYG,HAK,19.934877,110.45896
2694,DYG,TNA,36.857689,117.206881
2695,DYG,TSN,39.128273,117.355906
2696,DYG,YNT,37.657222,120.987222
2697,DYG,PKX,39.508611,116.410833
2698,DYG,CKG,29.7192,106.641998
2699,DYG,PEK,40.078538,116.587095
2703,DYG,LHW,36.509497,103.61756
2705,DYG,HIA,33.7875,119.12778
2706,DYG,HGH,30.236934,120.432356
2707,DYG,KMG,25.101944,102.929167
2708,DYG,TAO,36.361944,120.088333
2709,DYG,NNG,22.61321,108.167501
2710,DYG,NGB,29.826696,121.462002
2711,DYG,XUZ,34.055033,117.554758
2713,DYG,KUL,2.744344,101.717259
2714,DYG,WUX,31.492889,120.424374
2715,DYG,HKG,22.315248,113.93649
2716,DYG,FOC,25.931231,119.66923
2718,DYG,HFE,31.992778,116.973333
2719,DYG,JJN,24.802809,118.587293
2720,DYG,CAN,23.387862,113.29734
2721,DYG,HNY,26.723889,112.618333
2722,DYG,YTY,32.563057,119.720278
2723,DYG,MNL,14.511205,121.019208
2725,DZH,CAN,23.387862,113.29734
2726,DZH,TFU,30.314195,104.44186
2727,DZH,PEK,40.078538,116.587095
2728,DZH,CTU,30.581134,103.956799
2729,DZH,PVG,31.143333,121.805278
2730,DZH,SZX,22.639444,113.810833
2731,DZH,WUH,30.776789,114.217577
2732,DZH,SYX,18.305276,109.40888
2733,DZH,ZUH,22.011788,113.370601
2734,DZH,SWA,23.54944,116.510277
2735,DZH,INC,38.323031,106.388059
2736,DZH,LXA,29.2978,90.911903
2737,DZH,NNG,22.61321,108.167501
2738,DZH,TAO,36.361944,120.088333
2739,DZH,WEH,37.188142,122.236067
2740,DZH,NKG,31.735737,118.86652
2741,DZH,CGO,34.527519,113.840242
2742,DZH,HGH,30.236934,120.432356
2743,DZH,KWE,26.544217,106.79598
2744,DZH,LJG,26.679975,100.245768
2745,DZH,HAK,19.934877,110.45896
2746,DZH,HFE,31.992778,116.973333
2747,DZH,HSN,29.935258,122.356914
2748,DZH,SJW,38.281868,114.692106
2749,DZH,KHN,28.859902,115.907845
2750,DZH,JJN,24.802809,118.587293
2751,DZH,YBP,28.801665,104.551835
2752,DZH,DLU,25.65135,100.323158
2753,ENH,WUH,30.776789,114.217577
2754,ENH,HGH,30.236934,120.432356
2755,ENH,XIY,34.438416,108.760946
2756,ENH,PVG,31.143333,121.805278
2757,ENH,KWE,26.544217,106.79598
2758,ENH,SZX,22.639444,113.810833
2759,ENH,PKX,39.508611,116.410833
2760,ENH,TYN,37.754996,112.62585
2761,ENH,WNZ,27.91566,120.847381
2762,ENH,XNN,36.527506,102.043002
2763,ENH,INC,38.323031,106.388059
2764,ENH,KHN,28.859902,115.907845
2765,ENH,LHW,36.509497,103.61756
2766,ENH,CAN,23.387862,113.29734
2767,ENH,KMG,25.101944,102.929167
2768,ENH,TSN,39.128273,117.355906
2769,ENH,NKG,31.735737,118.86652
2770,ENH,HAK,19.934877,110.45896
2771,ENH,TFU,30.314195,104.44186
2772,ENH,TNA,36.857689,117.206881
2773,ENH,HET,40.854712,111.814157
2774,ESB,IST,41.260278,28.741944
2775,ESB,SAW,40.904676,29.309188
2776,ESB,AYT,36.899282,30.801349
2777,ESB,ADB,38.294403,27.147594
2780,ESB,TZX,40.994191,39.781681
2786,ESB,IKA,35.408632,51.1548
2788,ESB,GYD,40.462487,50.05039
2791,ESB,AMM,31.722535,35.989318
2800,ESB,BGW,33.255879,44.232069
2801,ESB,DOH,25.260988,51.613594
2805,ESB,ALA,43.35136,77.037091
2806,ESB,AUH,24.426912,54.645974
2807,ESB,TAS,41.257893,69.281204
2809,ESB,TBS,41.674063,44.958958
2810,ESB,BEY,33.826073,35.493082
2811,ESB,DXB,25.256557,55.366071
2812,ESB,FRU,43.053581,74.469449
2813,ESB,JED,21.670232,39.150579
2815,ESB,MED,24.544369,39.698966
2816,ESB,NQZ,51.027811,71.461199
2817,FOC,PEK,40.078538,116.587095
2818,FOC,KMG,25.101944,102.929167
2819,FOC,CKG,29.7192,106.641998
2820,FOC,XIY,34.438416,108.760946
2821,FOC,PKX,39.508611,116.410833
2822,FOC,CAN,23.387862,113.29734
2823,FOC,CGO,34.527519,113.840242
2824,FOC,PVG,31.143333,121.805278
2825,FOC,WUH,30.776789,114.217577
2826,FOC,SHA,31.19779,121.333473
2827,FOC,TFU,30.314195,104.44186
2828,FOC,KWE,26.544217,106.79598
2829,FOC,NKG,31.735737,118.86652
2830,FOC,TAO,36.361944,120.088333
2831,FOC,CSX,28.193336,113.214592
2832,FOC,NNG,22.61321,108.167501
2833,FOC,TSN,39.128273,117.355906
2834,FOC,TYN,37.754996,112.62585
2835,FOC,CTU,30.581134,103.956799
2836,FOC,HAK,19.934877,110.45896
2837,FOC,SHE,41.634992,123.485731
2838,FOC,TNA,36.857689,117.206881
2839,FOC,HKG,22.315248,113.93649
2840,FOC,SYX,18.305276,109.40888
2841,FOC,ZUH,22.011788,113.370601
2842,FOC,HSN,29.935258,122.356914
2843,FOC,LHW,36.509497,103.61756
2844,FOC,SIN,1.361173,103.990201
2845,FOC,KWL,25.217585,110.046839
2846,FOC,NTG,32.072921,120.975605
2848,FOC,YBP,28.801665,104.551835
2849,FOC,CGQ,43.99611,125.68528
2851,FOC,BKK,13.693062,100.752044
2852,FOC,CGK,-6.130643,106.655526
2853,FOC,ICN,37.458764,126.441961
2854,FOC,HIA,33.7875,119.12778
2855,FOC,INC,38.323031,106.388059
2856,FOC,KUL,2.744344,101.717259
2857,FOC,NRT,35.773213,140.387443
2858,FOC,SZX,22.639444,113.810833
2859,FOC,TPE,25.075512,121.23248
2860,FOC,WUX,31.492889,120.424374
2861,FOC,XFN,32.150067,112.290691
2862,FOC,YNT,37.657222,120.987222
2863,FOC,JGS,26.856899,114.737
2866,FOC,HNY,26.723889,112.618333
2867,FOC,DLC,38.96102,121.539991
2868,FOC,KIX,34.43533,135.243977
2869,FOC,LYA,34.736361,112.385406
2871,FOC,SJW,38.281868,114.692106
2872,FOC,XUZ,34.055033,117.554758
2873,FOC,YIH,30.549934,111.478938
2874,FOC,YNZ,33.431217,120.204406
2875,FOC,YTY,32.563057,119.720278
2876,FOC,WEH,37.188142,122.236067
2878,FOC,XNN,36.527506,102.043002
2879,FOC,JHG,21.973422,100.766454
2882,FOC,URC,43.90126,87.475148
2883,FOC,DLU,25.65135,100.323158
2884,FOC,BKI,5.923961,116.050753
2886,FOC,CZX,31.914116,119.779762
2887,FOC,ACX,25.085556,104.959444
2888,FOC,JNG,35.646944,116.742222
2889,FOC,UYN,38.361466,109.596181
2890,FOC,LYG,34.565938,118.876986
2891,FOC,DYG,29.10712,110.445685
2892,FOC,SHS,30.321995,112.2781
2893,FOC,CJU,33.506698,126.493119
2894,FOC,MFM,22.156587,113.57285
2895,FOC,DPS,-8.748056,115.1675
2896,FOC,FUG,32.866667,115.7
2897,FOC,KHH,22.5725,120.345278
2899,FRU,IST,41.260278,28.741944
2900,FRU,TAS,41.257893,69.281204
2901,FRU,ALA,43.35136,77.037091
2902,FRU,SAW,40.904676,29.309188
2903,FRU,DXB,25.256557,55.366071
2904,FRU,SHJ,25.320873,55.52029
2905,FRU,URC,43.90126,87.475148
2906,FRU,AUH,24.426912,54.645974
2907,FRU,AYT,36.899282,30.801349
2908,FRU,PKX,39.508611,116.410833
2909,FRU,JED,21.670232,39.150579
2910,FRU,TFU,30.314195,104.44186
2911,FRU,ISB,33.548333,72.825
2912,FRU,LHE,31.520833,74.402778
2913,FRU,DEL,28.556162,77.099958
2914,FRU,ESB,40.114941,32.993145
2915,FRU,ICN,37.458764,126.441961
2916,FRU,KWI,29.240116,47.971251
2917,FRU,XIY,34.438416,108.760946
2920,FRU,GYD,40.462487,50.05039
2921,FUG,PEK,40.078538,116.587095
2922,FUG,CAN,23.387862,113.29734
2923,FUG,CTU,30.581134,103.956799
2924,FUG,HAK,19.934877,110.45896
2925,FUG,HSN,29.935258,122.356914
2926,FUG,TSN,39.128273,117.355906
2927,FUG,WNZ,27.91566,120.847381
2928,FUG,XMN,24.543064,118.134178
2929,FUG,LHW,36.509497,103.61756
2930,FUG,NNG,22.61321,108.167501
2931,FUG,HUZ,23.050418,114.596859
2932,FUG,SYX,18.305276,109.40888
2933,FUG,JJN,24.802809,118.587293
2934,FUG,DLC,38.96102,121.539991
2936,FUG,KWE,26.544217,106.79598
2937,FUG,PVG,31.143333,121.805278
2938,FUG,KMG,25.101944,102.929167
2939,FUG,CKG,29.7192,106.641998
2940,FUG,SZX,22.639444,113.810833
2941,FUG,INC,38.323031,106.388059
2942,FUG,CGQ,43.99611,125.68528
2943,FUG,URC,43.90126,87.475148
2944,FUG,ZUH,22.011788,113.370601
2945,FUG,FOC,25.931231,119.66923
2946,FUG,HET,40.854712,111.814157
2947,FUG,SWA,23.54944,116.510277
2948,FUG,CSX,28.193336,113.214592
2949,FUG,TAO,36.361944,120.088333
2950,FUG,SHE,41.634992,123.485731
2951,FUK,HND,35.553476,139.781206
2952,FUK,OKA,26.204954,127.645842
2953,FUK,ICN,37.458764,126.441961
2954,FUK,NRT,35.773213,140.387443
2956,FUK,NGO,34.858333,136.805278
2957,FUK,ITM,34.790975,135.441719
2958,FUK,PUS,35.179319,128.948728
2959,FUK,CTS,42.787281,141.681341
2961,FUK,TPE,25.075512,121.23248
2962,FUK,HKG,22.315248,113.93649
2965,FUK,PVG,31.143333,121.805278
2967,FUK,KIX,34.43533,135.243977
2977,FUK,BKK,13.693062,100.752044
2978,FUK,MNL,14.511205,121.019208
2979,FUK,KHH,22.5725,120.345278
2980,FUK,DLC,38.96102,121.539991
2982,FUK,HAN,21.214184,105.802827
2986,FUK,KOJ,31.801224,130.715616
2988,FUK,SIN,1.361173,103.990201
2990,FUK,CAN,23.387862,113.29734
2992,FUK,DMK,13.9125,100.606667
2993,FUK,SGN,10.813045,106.662477
2994,GAU,DEL,28.556162,77.099958
2995,GAU,CCU,22.655,88.447
2996,GAU,BLR,13.200771,77.710228
2999,GAU,BOM,19.089891,72.868047
3000,GAU,HYD,17.233702,78.430427
3001,GAU,MAA,12.982267,80.163782
3007,GAU,LKO,26.764257,80.884186
3008,GAU,PNQ,18.581389,73.920556
3009,GAU,BBI,20.252853,85.817385
3011,GAU,JAI,26.822004,75.800995
3014,GAU,DMK,13.9125,100.606667
3016,GAU,KUL,2.744344,101.717259
3017,GAU,SIN,1.361173,103.990201
3019,GOX,DEL,28.556162,77.099958
3020,GOX,BOM,19.089891,72.868047
3021,GOX,BLR,13.200771,77.710228
3022,GOX,HYD,17.233702,78.430427
3023,GOX,PNQ,18.581389,73.920556
3024,GOX,MAA,12.982267,80.163782
3025,GOX,CCU,22.655,88.447
3028,GOX,JAI,26.822004,75.800995
3029,GOX,DOH,25.260988,51.613594
3031,GOX,AMD,23.066389,72.624167
3032,GOX,MCT,23.600739,58.284042
3038,GOX,TAS,41.257893,69.281204
3039,GOX,SHJ,25.320873,55.52029
3040,GYD,IST,41.260278,28.741944
3041,GYD,TBS,41.674063,44.958958
3042,GYD,DXB,25.256557,55.366071
3043,GYD,SAW,40.904676,29.309188
3044,GYD,AUH,24.426912,54.645974
3045,GYD,DOH,25.260988,51.613594
3046,GYD,ESB,40.114941,32.993145
3047,GYD,ADB,38.294403,27.147594
3048,GYD,SHJ,25.320873,55.52029
3049,GYD,DEL,28.556162,77.099958
3051,GYD,TAS,41.257893,69.281204
3053,GYD,ALA,43.35136,77.037091
3054,GYD,KWI,29.240116,47.971251
3056,GYD,RUH,24.959289,46.702876
3057,GYD,TZX,40.994191,39.781681
3058,GYD,URC,43.90126,87.475148
3059,GYD,BOM,19.089891,72.868047
3061,GYD,AYT,36.899282,30.801349
3062,GYD,BGW,33.255879,44.232069
3063,GYD,DMM,26.471111,49.797778
3065,GYD,KHI,24.899986,67.16828
3066,GYD,LHE,31.520833,74.402778
3067,GYD,IKA,35.408632,51.1548
3068,GYD,JED,21.670232,39.150579
3069,GYD,PEK,40.078538,116.587095
3071,GYD,ISB,33.548333,72.825
3072,GYD,NQZ,51.027811,71.461199
3073,GYD,FRU,43.053581,74.469449
3075,GYD,BAH,26.269181,50.62605
3076,GYD,MLE,4.19183,73.529108
3077,HAK,CAN,23.387862,113.29734
3078,HAK,SZX,22.639444,113.810833
3079,HAK,CSX,28.193336,113.214592
3080,HAK,CGO,34.527519,113.840242
3081,HAK,WUH,30.776789,114.217577
3082,HAK,PEK,40.078538,116.587095
3083,HAK,CKG,29.7192,106.641998
3084,HAK,PVG,31.143333,121.805278
3085,HAK,HGH,30.236934,120.432356
3086,HAK,KMG,25.101944,102.929167
3087,HAK,KWE,26.544217,106.79598
3088,HAK,TFU,30.314195,104.44186
3089,HAK,XIY,34.438416,108.760946
3090,HAK,PKX,39.508611,116.410833
3091,HAK,NNG,22.61321,108.167501
3092,HAK,ZUH,22.011788,113.370601
3093,HAK,NKG,31.735737,118.86652
3094,HAK,XMN,24.543064,118.134178
3095,HAK,SHA,31.19779,121.333473
3096,HAK,KWL,25.217585,110.046839
3097,HAK,HKG,22.315248,113.93649
3098,HAK,KHN,28.859902,115.907845
3099,HAK,SWA,23.54944,116.510277
3100,HAK,NGB,29.826696,121.462002
3101,HAK,TNA,36.857689,117.206881
3102,HAK,JJN,24.802809,118.587293
3103,HAK,FOC,25.931231,119.66923
3104,HAK,SJW,38.281868,114.692106
3105,HAK,TSN,39.128273,117.355906
3106,HAK,CTU,30.581134,103.956799
3107,HAK,TYN,37.754996,112.62585
3108,HAK,BKK,13.693062,100.752044
3109,HAK,SIN,1.361173,103.990201
3110,HAK,CZX,31.914116,119.779762
3111,HAK,DYG,29.10712,110.445685
3112,HAK,TAO,36.361944,120.088333
3113,HAK,XFN,32.150067,112.290691
3114,HAK,XUZ,34.055033,117.554758
3115,HAK,FUG,32.866667,115.7
3116,HAK,HFE,31.992778,116.973333
3117,HAK,HNY,26.723889,112.618333
3118,HAK,HUZ,23.050418,114.596859
3119,HAK,LZO,29.030556,105.46889
3120,HAK,JGS,26.856899,114.737
3121,HAK,KOW,25.849628,114.777786
3122,HAK,LYA,34.736361,112.385406
3123,HAK,LYG,34.565938,118.876986
3126,HAK,MIG,31.427633,104.747139
3129,HAK,SHE,41.634992,123.485731
3130,HAK,WNZ,27.91566,120.847381
3131,HAK,HRB,45.620854,126.23644
3132,HAK,DSN,39.496721,109.860527
3133,HAK,YBP,28.801665,104.551835
3134,HAK,KUL,2.744344,101.717259
3135,HAK,LHW,36.509497,103.61756
3141,HAK,HET,40.854712,111.814157
